item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies,cover
book,The Changing Face of China,John Gittings,John,Gittings,9780192806123.0,0192806122,"Where is China heading in the 21st century? Can its Communist Party survive or is it being challenged by growing inequality and unrest? Will the US and China cooperate or compete in a dangerous future? Will China's economic boom be brought to a halt by environmental catastrophe? In thishighly readable account, John Gittings provides the essential information to help answer these vital questions for the world.In the 60 years since Mao Zedong took the road to victory, China has undergone not one but two revolutions. The first swept away the old corrupt society and sought to build a 'spotless' new socialism behind closed doors; the second since Mao's death has focused on an economic agenda which acceptsthe goals of global capitalism. From Mao to the global market, Gittings charts this complex but epic tale and concludes with some hard questions for the future.","Oxford University Press, Incorporated",2005-09-23,Politics,to read,,,384.0,,,,,,,,,,,,,2020-05-27,1,9780192806123.jpg
book,The Future of the Brain,"Edvard I. Moser, May-Britt Moser, Gary Marcus, Jeremy Freeman",Edvard,Moser,9780691173313.0,0691173311,"The world's top experts take readers to the very frontiers of brain science Includes a chapter by 2014 Nobel laureates May-Britt Moser and Edvard Moser An unprecedented look at the quest to unravel the mysteries of the human brain, The Future of the Brain takes readers to the absolute frontiers of science. Original essays by leading researchers such as Christof Koch, George Church, Olaf Sporns, and May-Britt and Edvard Moser describe the spectacular technological advances that will enable us to map the more than eighty-five billion neurons in the brain, as well as the challenges that lie ahead in understanding the anticipated deluge of data and the prospects for building working simulations of the human brain. A must-read for anyone trying to understand ambitious new research programs such as the Obama administration's BRAIN Initiative and the European Union's Human Brain Project, The Future of the Brain sheds light on the breathtaking implications of brain science for medicine, psychiatry, and even human consciousness itself. Contributors include: Misha Ahrens, Ned Block, Matteo Carandini, George Church, John Donoghue, Chris Eliasmith, Simon Fisher, Mike Hawrylycz, Sean Hill, Christof Koch, Leah Krubitzer, Michel Maharbiz, Kevin Mitchell, Edvard Moser, May-Britt Moser, David Poeppel, Krishna Shenoy, Olaf Sporns, Anthony Zador.",Princeton University Press,2016-11-08,Medicine,to read,,,304.0,,,,,,,,,,,,,2020-05-27,1,9780691173313.jpg
book,An Unquiet Mind: A Memoir of Moods and Madness,"Kay Redfield Jamison, Andrew Solomon",Kay,Jamison,9781447275282.0,1447275284,"With an introduction by Andrew Solomon 'It stands alone in the literature of manic depression for its bravery, brilliance and beauty.' Oliver Sacks I was used to my mind being my best friend. Now, all of a sudden, my mind had turned on me: it mocked me for my vapid enthusiasms; it laughed at all of my foolish plans; it no longer found anything interesting or enjoyable or worthwhile. Dr Kay Redfield Jamison is one of the foremost authorities on manic depression (bipolar disorder) - and has experienced its terrors and cruel allure first-hand. While pursuing her career in medicine, she was affected by the same exhilarating highs and catastrophic lows that afflicted many of her patients. From her jubilant childhood to the disquiet that has dominated her adult life, she charts a journey through her own mind, and those of others. An Unquiet Mind is a definitive examination of manic depression from both sides: doctor and patient, the healer and the healed. A classic memoir of enormous candour and courage, it teems with the wit and wisdom of its creator.",,,Psychology,to read,,,,,,,,,,,,,,,,2020-05-27,1,9781447275282.jpg
book,The Brain That Changes Itself,Norman Doidge,Norman,Doidge,9780141038872.0,014103887X,"'An utterly wonderful book - without question one of the most important books about the brain you will ever read' Iain McGilchrist MA, author of The Master and His Emissary Meet the ninety-year-old doctor who is still practicing medicine, the stroke victim who learned to move and talk again and the woman with half a brain that rewired itself to work as a whole. All these people had their lives transformed by the remarkable discovery that our brains can repair themselves through the power of positive thinking. Here bestselling author, psychiatrist and psychoanalyst Norman Doidge reveals the secrets of the cutting-edge science of 'neuroplasticity'. He introduces incredible case histories - blind people helped to see, IQs raised and memories sharpened - and tells the stories of the maverick scientists who are overturning centuries of assumptions about the brain. This inspiring book will leave you with a sense of wonder at the capabilities of the mind, and the self-healing power that lies within all of us.","Penguin Books, Limited",2008-08-07,Medicine,to read,,,448.0,,,,,,,,,,,,,2020-05-27,1,9780141038872.jpg
book,Sam Walton,Sam Walton,Sam,Walton,9780553562835.0,0553562835,"Meet a genuine American folk hero cut from the homespun cloth of America's heartland: Sam Walton, who parlayed a single dime store in a hardscrabble cotton town into Wal-Mart, the largest retailer in the world.  The undisputed merchant king of the late twentieth century, Sam never lost the common touch.  Here, finally, inimitable words.  Genuinely modest, but always sure if his ambitions and achievements.  Sam shares his thinking in a candid, straight-from-the-shoulder style. In a story rich with anecdotes and the ""rules of the road"" of both Main Street and Wall Street, Sam Walton chronicles the inspiration, heart, and optimism that propelled him to lasso the American Dream.",Random House Publishing Group,1993-06-01,Biography,to read,,,368.0,,,,,,,,,,,,,2020-05-27,1,9780553562835.jpg
book,The Fundamentals of Hedge Fund Management,Daniel A. Strachman,Daniel,Strachman,9780471748526.0,0471748528,"The tools and techniques needed to successfully launch and maintain a hedge fund In The Fundamentals of Hedge Fund Management, both budding and established hedge fund managers will learn the fundamentals of building and maintaining a successful hedge fund business. Strachman presents the facts in an accessible and easy-to-use format that will empower readers to create a lasting fund that provides significant income for years to come. The Fundamentals of Hedge Fund Management provides information on everything from picking a lawyer to creating a fund's documents to determining what markets attract investors. Readers will glean valuable information from real-life experiences (both negative and positive) that have shaped and continue to guide many of today's leading and most respected funds.","John Wiley &amp; Sons, Incorporated",2007-02-02,Finance,to read,,,192.0,,,,,,,,,,,,,2020-05-27,1,9780471748526.jpg
book,The Science of Algorithmic Trading and Portfolio Management,Robert Kissell,Robert,Kissell,9780124016897.0,0124016898,"The Science of Algorithmic Trading and Portfolio Management, with its emphasis on algorithmic trading processes and current trading models, sits apart from others of its kind. Robert Kissell, the first author to discuss algorithmic trading across the various asset classes, provides key insights into ways to develop, test, and build trading algorithms. Readers learn how to evaluate market impact models and assess performance across algorithms, traders, and brokers, and acquire the knowledge to implement electronic trading systems. This valuable book summarizes market structure, the formation of prices, and how different participants interact with one another, including bluffing, speculating, and gambling. Readers learn the underlying details and mathematics of customized trading algorithms, as well as advanced modeling techniques to improve profitability through algorithmic trading and appropriate risk management techniques. Portfolio management topics, including quant factors and black box models, are discussed, and an accompanying website includes examples, data sets supplementing exercises in the book, and large projects.",Elsevier Science &amp; Technology,2013-07-01,Finance,,,,496.0,,,,,,,,,,,,,2020-05-27,1,9780124016897.jpg
book,Cases and Materials on EU Law,Stephen Weatherill,Stephen,Weatherill,9780199214013.0,0199214018,"Cases and Materials on EU Law is widely recognized as the most authoritative and successful book of its kind on the market. Written by one of the UK's leading European lawyers, it provides a complete and essential resource for all students of EU law.A comprehensive selection of important cases and legislation is supported by Weatherill's lively commentary and pertinent questions, which explain the materials and stimulate further discussion in an easy-to-read format. This popular text helps students to understand the development of the EuropeanUnion and its policies, covering the major judgments delivered by the European Court over the past forty years, and considering the effects the latest proposals and regulations will have.Online Resource CentreFor lecturers:Guidance on using the book when teachingFor students:UpdatesWeb linksInteractive mapAnimated timeline","Oxford University Press, Incorporated",2007-07-26,Law,to read,,,696.0,,,,,,,,,,,,,2020-05-27,1,9780199214013.jpg
book,Land Law,"Kevin Gray, Susan Francis Gray",Kevin,Gray,9780199284450.0,0199284458,"Gray and Gray's Land Law introduces students to, not just a critical, but also user-friendly exploration of the law of real property in its many dimensions. This text locates the structural features of the law providing a careful and incisive analysis of recent legislation and case law. Byproviding a succinct, thoughtful and critical account of the inner dynamic of land and the legal issues which it generates, this text has proved to be an invaluable guide to students of land law.","Oxford University Press, Incorporated",2006-02-02,Law,to read,,,688.0,,,,,,,,,,,,,2020-05-27,1,9780199284450.jpg
book,Landlord and Tenant Law,"Margaret Wilkie, Godfrey Cole, Peter Luxton, Jill Morgan",Margaret,Wilkie,9781403917546.0,140391754X,"Landlord and Tenant Law contains summaries, exercises and workshops to help the reader to make sense of a complex area of Law. This is an extensively revised fifth edition of this popular text, particularly in terms of its coverage of the effects of covenants in leases and also in an expanded section on business tenancies.",Palgrave Macmillan Limited,2006-10-13,Law,,,,408.0,,,,,,,,,,,,,2020-05-27,1,9781403917546.jpg
